Scan,MMI,VI,TI
np_brain0_scaled,97,100,100
np_brain10_scaled,100,100,100
np_brain11_scaled,100,88,100
np_brain12_scaled,100,97,100
np_brain13_scaled,82,96,100
np_brain14_scaled,76,59,92
np_brain15_scaled,100,49,100
np_brain16_scaled,100,100,100
np_brain17_scaled,100,87,100
np_brain18_scaled,100,95,100
np_brain19_scaled,100,99,100
np_brain1_scaled,100,84,100
np_brain2_scaled,100,100,100
np_brain3_scaled,100,100,100
np_brain4_scaled,100,100,100
np_brain5_scaled,100,93,96
np_brain6_scaled,100,100,100
np_brain7_scaled,100,100,100
np_brain8_scaled,100,100,100
np_brain9_scaled,100,100,100
