Scan,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled,63,75,49
np_GL_10A07_AE_01_011511B_scaled,97,100,100
np_GL_24B09_AE_01_102709B_scaled,33,33,76
np_GL_31B04_AE_01_031911B_scaled,63,94,44
np_GL_39A12_AE_01_051609B_scaled,83,27,75
np_GL_39H11_AE_01_080409B_scaled,50,33,81
np_GL_43A11_AE_01_101609B_scaled,67,61,75
np_GL_43A12_AE_01_101210B_scaled,97,100,82
np_GL_47C10_AE_01_061509A_scaled,71,55,72
np_GL_49C01_AE_01_111710A_scaled,90,63,37
np_GL_53A06_AE_01_081209A_scaled,41,15,58
np_GL_53H01_AE_01_021611A_scaled,71,47,73
np_GL_58E05_AE_01_082709B_scaled,83,90,49
np_GL_60A07_AE_01_091509A_scaled,54,33,72
np_GL_60F09_AE_01_012010A_scaled,69,78,87
np_GL_62A03_AD_01_020610A_scaled,68,91,86
np_GL_68B03_AE_01_110408B_scaled,75,48,52
np_GL_73B11_AE_01_121309B_scaled,71,44,70
np_GL_79B07_AE_01_100110B_scaled,77,48,57
np_GL_85B08_AE_01_081210A_scaled,71,78,56
np_GL_89B10_AE_01_090410A_scaled,79,80,44
np_GL_93A08_AE_01_071110B_scaled,82,90,85
np_GL_93F05_AE_01_090310A_scaled,60,52,72
np_GL_96A08_AD_01_031911B_scaled,78,37,80
