Landmark Points,Mean LRE (um),Std Dev LRE (um)
Left MB vertical medial lobe connection,1.16,0.69
anterior upper coumisure,2.39,1.47
center SEZ neuropil fusion,2.23,1.31
end of ventral nerve cord,1.75,1.26
left A6 nerve entry,3.33,1.59
left A7 nerve entry,3.84,1.39
left A8 nerve entry,3.16,1.31
left antennal nerve,1.86,0.96
left anterior LON nerve,1.55,0.7
left basal brain neuropil border posterior,3.63,1.22
left thoracic nerve entry T1,0.95,0.65
left thoracic nerve entry T2,0.9,0.66
left thoracic nerve entry T3,1.02,0.73
left tip of vertical lobe,1.34,0.75
left upper most anterior nerve entry,4.86,1.38
left upper peduncle,1.29,0.72
posterior upper coumisure,1.96,0.96
right A6 nerve entry,3.58,1.91
right A7 nerve entry,4.04,1.82
right A8 nerve entry,3.07,1.36
right MB vertical medial lobe connection,1.48,0.87
right antennal nerve,2.33,0.99
right anterior LON nerve,1.73,0.65
right basal brain neuropil border posterior,3.45,1.32
right thoracic nerve entry T1,1.11,0.87
right thoracic nerve entry T2,1.11,0.49
right thoracic nerve entry T3,1.46,1.02
right tip of vertical lobe,1.18,0.77
right upper most anterior nerve entry,5.51,1.58
right upper peduncle,1.28,0.78
,,
Average,2.29,1.07
Median,1.81,0.98
Max,5.51,1.91
