Landmark Points,Mean LRE (mm),Std Dev LRE (mm)
right upper most anterior nerve entry,4.77,1.93
right A6 nerve entry,5.32,2.9
right tip of vertical lobe,1.14,0.81
right anterior LON nerve,1.19,0.71
posterior upper commisure,2.51,0.91
Left MB vertical medial lobe connection,0.86,0.6
right thoracic nerve entry T3,1.27,1.13
left anterior LON nerve,1.22,0.71
left upper peduncle,1.49,1.36
left thoracic nerve entry T3,0.91,0.67
right MB vertical medial lobe connection,1.04,0.9
left thoracic nerve entry T1,1.66,1.07
left tip of vertical lobe,0.91,0.71
left A6 nerve entry,4.87,2.41
left upper most anterior nerve entry,4.27,1.65
right upper peduncle,1.32,1.34
right thoracic nerve entry T1,1.71,1.16
right thoracic nerve entry T2,1.46,0.86
left A8 nerve entry,5.11,2.43
anterior upper commisure,2.8,1.61
right A8 nerve entry,5.2,2.91
right A7 nerve entry,5.17,2.77
right antennal nerve,2.52,0.96
end of ventral nerve cord,3.62,3.09
left antennal nerve,2.17,1.07
left thoracic nerve entry T2,1.39,0.8
right basal brain neuropil border posterior,2.73,1.15
left A7 nerve entry,5.18,3.02
center SEZ neuropil fusion,2.67,1.45
left basal brain neuropil border posterior,2.76,1.07
,,
Average,2.64,1.47
