Filename,MMI,VI,TI
np_brain0_scaled.tif,75,100,73
np_brain10_scaled.tif,82,96,87
np_brain11_scaled.tif,96,97,74
np_brain12_scaled.tif,99,100,86
np_brain13_scaled.tif,63,84,71
np_brain14_scaled.tif,72,90,73
np_brain15_scaled.tif,85,100,77
np_brain16_scaled.tif,91,100,77
np_brain17_scaled.tif,90,76,75
np_brain18_scaled.tif,87,93,74
np_brain19_scaled.tif,87,89,82
np_brain1_scaled.tif,87,100,77
np_brain2_scaled.tif,98,100,80
np_brain3_scaled.tif,99,100,86
np_brain4_scaled.tif,85,100,81
np_brain5_scaled.tif,91,100,81
np_brain6_scaled.tif,91,100,77
np_brain7_scaled.tif,93,99,82
np_brain8_scaled.tif,96,100,66
np_brain9_scaled.tif,98,100,81
