Filename,MMI,VI,TI
np_13F02_34E04_MB006B_020413B_scaled.tif,92,85,84
np_13F02_52H09_MB010B_021713A_scaled.tif,79,84,73
np_13F02_52H09_MB010B_021713B_scaled.tif,76,82,68
np_14C08_15B01_MB011A_020613B_scaled.tif,92,100,77
np_14C08_15B01_MB011A_020613C_scaled.tif,93,96,72
np_14E06_22B12_MB012B_020413B_scaled.tif,91,98,68
np_24H08_53F03_MB027B_020413A_scaled.tif,97,100,86
np_30C01_53H03_MB078C_021713B_scaled.tif,68,85,69
np_33D07_10F07_MB033B_020613A_scaled.tif,93,100,74
np_52B07_52H01_MB262B_021713B_scaled.tif,75,100,74
np_58E02_22E04_MB042C_020213A_scaled.tif,82,88,68
np_58E02_32D11_MB043B_020213A_scaled.tif,85,92,65
np_58E02_32D11_MB043B_021713B_scaled.tif,72,87,69
np_58E02_37E10_MB299C_021713A_scaled.tif,78,93,67
np_58E02_87B09_MB045C_020213B_scaled.tif,88,87,79
np_60H12_14E09_MB049B_020113B_scaled.tif,94,100,80
np_73F07_30E11_MB302B_022013B_scaled.tif,92,100,80
np_73F07_38E08_MB303B_022013A_scaled.tif,100,97,93
np_73F07_38E08_MB303B_022013B_scaled.tif,99,100,84
np_73H08_19F09_MB090A_021713A_scaled.tif,76,100,64
np_73H08_55A07_MB243A_022013B_scaled.tif,90,91,85
