Filename,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled.tif,67,84,58
np_GL_10A07_AE_01_011511B_scaled.tif,73,92,71
np_GL_24B09_AE_01_102709B_scaled.tif,33,5,65
np_GL_24H06_AE_01_062508A_scaled.tif,26,0,48
np_GL_31B04_AE_01_031911B_scaled.tif,61,88,57
np_GL_39A12_AE_01_051609B_scaled.tif,81,96,66
np_GL_39H11_AE_01_080409B_scaled.tif,48,41,62
np_GL_43A11_AE_01_101609B_scaled.tif,61,68,61
np_GL_43A12_AE_01_101210B_scaled.tif,72,84,68
np_GL_47C10_AE_01_061509A_scaled.tif,64,69,66
np_GL_49C01_AE_01_111710A_scaled.tif,66,88,53
np_GL_53A06_AE_01_081209A_scaled.tif,38,15,55
np_GL_53H01_AE_01_021611A_scaled.tif,60,64,56
np_GL_58E05_AE_01_082709B_scaled.tif,75,92,79
np_GL_60A07_AE_01_091509A_scaled.tif,48,24,60
np_GL_60F09_AE_01_012010A_scaled.tif,59,72,68
np_GL_62A03_AD_01_020610A_scaled.tif,56,76,63
np_GL_68B03_AE_01_110408B_scaled.tif,71,63,65
np_GL_73B11_AE_01_121309B_scaled.tif,71,75,58
np_GL_79B07_AE_01_100110B_scaled.tif,61,85,60
np_GL_85B08_AE_01_081210A_scaled.tif,59,68,55
np_GL_89B10_AE_01_090410A_scaled.tif,57,62,62
np_GL_93A08_AE_01_071110B_scaled.tif,67,75,61
np_GL_93F05_AE_01_090310A_scaled.tif,55,74,70
np_GL_96A08_AD_01_031911B_scaled.tif,68,96,70
