Filenames,MMI,VI,TI
np_13F02_34E04_MB006B_020413B_scaled.tif,100,100,100
np_13F02_52H09_MB010B_021713A_scaled.tif.tif,100,100,100
np_13F02_52H09_MB010B_021713B_scaled.tif,100,80,100
np_14C08_15B01_MB011A_020613B_scaled.tif,100,90,100
np_14C08_15B01_MB011A_020613C_scaled.tif,100,79,98
np_14E06_22B12_MB012B_020413B_scaled.tif,100,82,100
np_24H08_53F03_MB027B_020413A_scaled.tif,100,100,100
np_30C01_53H03_MB078C_021713B_scaled.tif,90,100,99
np_33D07_10F07_MB033B_020613A_scaled.tif,100,76,97
np_52B07_52H01_MB262B_021713B_scaled.tif,100,100,100
np_58E02_22E04_MB042C_020213A_scaled.tif,100,100,100
np_58E02_32D11_MB043B_020213A_scaled.tif,100,100,100
np_58E02_32D11_MB043B_021713B_scaled.tif,94,100,100
np_58E02_37E10_MB299C_021713A_scaled.tif,100,94,100
np_58E02_87B09_MB045C_020213B_scaled.tif,100,100,75
np_60H12_14E09_MB049B_020113B_scaled.tif,100,100,100
np_73F07_30E11_MB302B_022013B_scaled.tif,100,100,100
np_73F07_38E08_MB303B_022013A_scaled.tif,100,100,100
np_73F07_38E08_MB303B_022013B_scaled.tif,100,80,100
np_73H08_19F09_MB090A_021713A_scaled.tif,100,100,100
np_73H08_55A07_MB243A_022013B_scaled.tif,100,100,100
