Filenames,MMI,VI,TI
np_GL_09B11_AE_01_012410A_scaled.tif,74,64,81
np_GL_10A07_AE_01_011511B_scaled.tif,100,100,100
np_GL_24B09_AE_01_102709B_scaled.tif,39,34,86
np_GL_31B04_AE_01_031911B_scaled.tif,74,100,51
np_GL_39A12_AE_01_051609B_scaled.tif,100,62,100
np_GL_39H11_AE_01_080409B_scaled.tif,57,33,90
np_GL_43A11_AE_01_101609B_scaled.tif,76,82,92
np_GL_43A12_AE_01_101210B_scaled.tif,100,100,100
np_GL_47C10_AE_01_061509A_scaled.tif,80,53,98
np_GL_49C01_AE_01_111710A_scaled.tif,99,72,56
np_GL_53A06_AE_01_081209A_scaled.tif,50,19,75
np_GL_53H01_AE_01_021611A_scaled.tif,83,77,84
np_GL_58E05_AE_01_082709B_scaled.tif,91,82,72
np_GL_60A07_AE_01_091509A_scaled.tif,61,35,87
np_GL_60F09_AE_01_012010A_scaled.tif,77,84,95
np_GL_62A03_AD_01_020610A_scaled.tif,75,100,94
np_GL_68B03_AE_01_110408B_scaled.tif,88,65,77
np_GL_73B11_AE_01_121309B_scaled.tif,80,41,78
np_GL_79B07_AE_01_100110B_scaled.tif,91,58,73
np_GL_85B08_AE_01_081210A_scaled.tif,83,71,84
np_GL_89B10_AE_01_090410A_scaled.tif,85,72,46
np_GL_93A08_AE_01_071110B_scaled.tif,90,100,96
np_GL_93F05_AE_01_090310A_scaled.tif,72,51,84
np_GL_96A08_AD_01_031911B_scaled.tif,90,56,100
