Scan,MMI,VI,TI
np_13F02_34E04_MB006B_020413B_scaled.tif,92,85,84
np_13F02_52H09_MB010B_021713A_scaled.tif,79,84,73
np_13F02_52H09_MB010B_021713B_scaled.tif,76,82,68
np_14C08_15B01_MB011A_020613B_scaled.tif,92,100,77
np_14C08_15B01_MB011A_020613C_scaled.tif,93,96,72
np_14E06_22B12_MB012B_020413B_scaled.tif,91,98,68
np_24H08_53F03_MB027B_020413A_scaled.tif,97,100,86
np_30C01_53H03_MB078C_021713B_scaled.tif,68,85,69
np_33D07_10F07_MB033B_020613A_scaled.tif,93,100,74
np_52B07_52H01_MB262B_021713B_scaled.tif,75,100,74
np_58E02_22E04_MB042C_020213A_scaled.tif,82,88,68
np_58E02_32D11_MB043B_020213A_scaled.tif,85,92,65
np_58E02_32D11_MB043B_021713B_scaled.tif,72,87,69
np_58E02_37E10_MB299C_021713A_scaled.tif,78,93,67
np_58E02_87B09_MB045C_020213B_scaled.tif,88,87,79
np_60H12_14E09_MB049B_020113B_scaled.tif,94,100,80
np_73F07_30E11_MB302B_022013B_scaled.tif,92,100,80
np_73F07_38E08_MB303B_022013A_scaled.tif,100,97,93
np_73F07_38E08_MB303B_022013B_scaled.tif,99,100,84
np_73H08_19F09_MB090A_021713A_scaled.tif,76,100,64
np_73H08_55A07_MB243A_022013B_scaled.tif,90,91,85
np_GL_09B11_AE_01_012410A_scaled.tif,67,84,58
np_GL_10A07_AE_01_011511B_scaled.tif,73,92,71
np_GL_24B09_AE_01_102709B_scaled.tif,33,5,65
np_GL_24H06_AE_01_062508A_scaled.tif,26,0,48
np_GL_31B04_AE_01_031911B_scaled.tif,61,88,57
np_GL_39A12_AE_01_051609B_scaled.tif,81,96,66
np_GL_39H11_AE_01_080409B_scaled.tif,48,41,62
np_GL_43A11_AE_01_101609B_scaled.tif,61,68,61
np_GL_43A12_AE_01_101210B_scaled.tif,72,84,68
np_GL_47C10_AE_01_061509A_scaled.tif,64,69,66
np_GL_49C01_AE_01_111710A_scaled.tif,66,88,53
np_GL_53A06_AE_01_081209A_scaled.tif,38,15,55
np_GL_53H01_AE_01_021611A_scaled.tif,60,64,56
np_GL_58E05_AE_01_082709B_scaled.tif,75,92,79
np_GL_60A07_AE_01_091509A_scaled.tif,48,24,60
np_GL_60F09_AE_01_012010A_scaled.tif,59,72,68
np_GL_62A03_AD_01_020610A_scaled.tif,56,76,63
np_GL_68B03_AE_01_110408B_scaled.tif,71,63,65
np_GL_73B11_AE_01_121309B_scaled.tif,71,75,58
np_GL_79B07_AE_01_100110B_scaled.tif,61,85,60
np_GL_85B08_AE_01_081210A_scaled.tif,59,68,55
np_GL_89B10_AE_01_090410A_scaled.tif,57,62,62
np_GL_93A08_AE_01_071110B_scaled.tif,67,75,61
np_GL_93F05_AE_01_090310A_scaled.tif,55,74,70
np_GL_96A08_AD_01_031911B_scaled.tif,68,96,70
np_brain0_scaled.tif,75,100,73
np_brain10_scaled.tif,82,96,87
np_brain11_scaled.tif,96,97,74
np_brain12_scaled.tif,99,100,86
np_brain13_scaled.tif,63,84,71
np_brain14_scaled.tif,72,90,73
np_brain15_scaled.tif,85,100,77
np_brain16_scaled.tif,91,100,77
np_brain17_scaled.tif,90,76,75
np_brain18_scaled.tif,87,93,74
np_brain19_scaled.tif,87,89,82
np_brain1_scaled.tif,87,100,77
np_brain2_scaled.tif,98,100,80
np_brain3_scaled.tif,99,100,86
np_brain4_scaled.tif,85,100,81
np_brain5_scaled.tif,91,100,81
np_brain6_scaled.tif,91,100,77
np_brain7_scaled.tif,93,99,82
np_brain8_scaled.tif,96,100,66
np_brain9_scaled.tif,98,100,81
