Scan names,Larvalign,,,Cascaded Vanilla VXM,,,Cascaded Landmark Guided VXM,,
,MMI,VI,TI,MMI,VI,TI,MMI,VI,TI
brain0,75,100,73,100,100,100,100,100,100
brain10,82,96,87,100,100,100,100,100,100
brain11,96,97,74,100,90,100,100,90,100
brain12,99,100,86,100,100,100,100,100,100
brain13,63,84,71,86,100,100,86,100,100
brain14,72,90,73,84,55,100,85,100,100
brain15,85,100,77,100,47,100,100,94,100
brain16,91,100,77,100,100,100,100,100,100
brain17,90,76,75,100,75,100,100,87,100
brain18,87,93,74,100,98,100,100,100,100
brain19,87,89,82,100,100,100,100,100,100
brain1,87,100,77,100,84,100,100,100,100
brain2,98,100,80,100,100,100,100,100,100
brain3,99,100,86,100,100,100,100,100,100
brain4,85,100,81,100,97,100,100,100,100
brain5,91,100,81,100,87,100,100,100,100
brain6,91,100,77,100,100,100,100,100,100
brain7,93,99,82,100,100,100,100,100,100
brain8,96,100,66,100,100,100,100,100,100
brain9,98,100,81,100,100,100,100,100,100
,,,,,,,,,
Average,88.25,96.2,78,98.5,91.65,100,98.55,98.55,100
