Scan names,Larvalign,,,Cascaded Vanilla VXM,,,Cascaded Landmark Guided VXM,,
,MMI,VI,TI,MMI,VI,TI,MMI,VI,TI
13F02_34E04_MB006B_020413B,92,85,84,100,86,100,100,100,100
13F02_52H09_MB010B_021713A,79,84,73,100,97,100,100,100,100
13F02_52H09_MB010B_021713B,76,82,68,100,35,100,100,80,100
14C08_15B01_MB011A_020613B,92,100,77,100,85,100,100,90,100
14C08_15B01_MB011A_020613C,93,96,72,100,67,100,100,79,98
14E06_22B12_MB012B_020413B,91,98,68,100,49,100,100,82,100
24H08_53F03_MB027B_020413A,97,100,86,100,100,100,100,100,100
30C01_53H03_MB078C_021713B,68,85,69,91,93,100,90,100,99
33D07_10F07_MB033B_020613A,93,100,74,100,72,100,100,76,97
52B07_52H01_MB262B_021713B,75,100,74,100,86,100,100,100,100
58E02_22E04_MB042C_020213A,82,88,68,100,93,100,100,100,100
58E02_32D11_MB043B_020213A,85,92,65,100,99,100,100,100,100
58E02_32D11_MB043B_021713B,72,87,69,95,100,100,94,100,100
58E02_37E10_MB299C_021713A,78,93,67,100,89,100,100,94,100
58E02_87B09_MB045C_020213B,88,87,79,100,100,80,100,100,75
60H12_14E09_MB049B_020113B,94,100,80,100,96,100,100,100,100
73F07_30E11_MB302B_022013B,92,100,80,100,100,100,100,100,100
73F07_38E08_MB303B_022013A,100,97,93,100,100,100,100,100,100
73F07_38E08_MB303B_022013B,99,100,84,100,60,100,100,80,100
73H08_19F09_MB090A_021713A,76,100,64,100,100,100,100,100,100
73H08_55A07_MB243A_022013B,90,91,85,100,100,100,100,100,100
,,,,,,,,,
Average,86.29,93.57,75.19,99.33,86.05,99.05,99.24,94.33,98.52
