Scan names,Larvalign,,,Cascaded Vanilla VXM,,,Cascaded Landmark Guided VXM,,
,MI,VI,TI,MI,VI,TI,MI,VI,TI
GL_09B11_AE_01_012410A,67,84,58,74,64,81,74,85,74
GL_10A07_AE_01_011511B,73,92,71,100,100,100,100,100,100
GL_24B09_AE_01_102709B,33,5,65,39,34,86,39,35,87
GL_31B04_AE_01_031911B,61,88,57,74,100,51,71,100,47
GL_39A12_AE_01_051609B,81,96,66,100,62,100,100,85,100
GL_39H11_AE_01_080409B,48,41,62,57,33,90,56,32,89
GL_43A11_AE_01_101609B,61,68,61,76,82,92,75,85,91
GL_43A12_AE_01_101210B,72,84,68,100,100,100,100,100,100
GL_47C10_AE_01_061509A,64,69,66,80,53,98,79,68,95
GL_49C01_AE_01_111710A,66,88,53,99,72,56,97,75,56
GL_53A06_AE_01_081209A,38,15,55,50,19,75,49,20,73
GL_53H01_AE_01_021611A,60,64,56,83,77,84,82,86,89
GL_58E05_AE_01_082709B,75,92,79,91,82,72,91,100,68
GL_60A07_AE_01_091509A,48,24,60,61,35,87,59,35,89
GL_60F09_AE_01_012010A,59,72,68,77,84,95,75,82,94
GL_62A03_AD_01_020610A,56,76,63,75,100,94,74,100,94
GL_68B03_AE_01_110408B,71,63,65,88,65,77,88,69,75
GL_73B11_AE_01_121309B,71,75,58,80,41,78,81,38,72
GL_79B07_AE_01_100110B,61,85,60,91,58,73,88,100,71
GL_85B08_AE_01_081210A,59,68,55,83,71,84,81,85,80
GL_89B10_AE_01_090410A,57,62,62,85,72,46,82,63,47
GL_93A08_AE_01_071110B,67,75,61,90,100,96,88,100,96
GL_93F05_AE_01_090310A,55,74,70,72,51,84,68,58,82
GL_96A08_AD_01_031911B,68,96,70,90,56,100,92,67,100
,,,,,,,,,
Average,61.29,69,62.88,79.79,67.13,83.29,78.71,73.67,82.04
