,np_13F02_34E04_MB006B_020413B_scaled.points,np_13F02_52H09_MB010B_021713A_scaled.points,np_13F02_52H09_MB010B_021713B_scaled.points,np_14C08_15B01_MB011A_020613B_scaled.points,np_14C08_15B01_MB011A_020613C_scaled.points,np_14E06_22B12_MB012B_020413B_scaled.points,np_24H08_53F03_MB027B_020413A_scaled.points,np_30C01_53H03_MB078C_021713B_scaled.points,np_33D07_10F07_MB033B_020613A_scaled.points,np_52B07_52H01_MB262B_021713B_scaled.points,np_58E02_22E04_MB042C_020213A_scaled.points,np_58E02_32D11_MB043B_020213A_scaled.points,np_58E02_32D11_MB043B_021713B_scaled.points,np_58E02_37E10_MB299C_021713A_scaled.points,np_58E02_87B09_MB045C_020213B_scaled.points,np_60H12_14E09_MB049B_020113B_scaled.points,np_73F07_30E11_MB302B_022013B_scaled.points,np_73F07_38E08_MB303B_022013A_scaled.points,np_73F07_38E08_MB303B_022013B_scaled.points,np_73H08_19F09_MB090A_021713A_scaled.points,np_73H08_55A07_MB243A_022013B_scaled.points
Left MB vertical medial lobe connection,2.1,2.25,1.29,0.65,2.1,0.65,1.02,0.91,0,2.25,0.46,1.02,0.91,0.46,0.65,0.46,0,0.91,0.91,0.46,0.91
anterior upper commisure,0.46,4.2,0.46,2.05,0.46,2.28,0.46,0.46,0.46,2.2,4.05,1.02,0.46,2.05,1.02,2.25,0,2.2,2.1,2.05,1.29
center SEZ neuropil fusion,2.59,0.65,2,0.46,4.05,2.05,2.42,2.1,0.91,1.02,4.7,4.13,1.44,4.13,3.04,2.05,4.1,4.03,4.03,4.85,3.04
end of ventral nerve cord,2.38,4.1,2,2.05,2,0.46,0.65,2,0.65,0.65,0.91,2.05,2.05,2.2,0.46,0.46,1.02,0,0.46,0.46,2.25
left A6 nerve entry,3.42,4.33,2.1,3.42,3.07,4.63,3.07,1.44,4.1,4.33,4.03,2.05,2.42,2.2,4.13,4.13,2.42,2.05,2.75,2.25,2.71
left A7 nerve entry,4.13,4.05,2.1,4.03,2.05,4.03,2.25,2.05,4.03,4.05,4.03,4.13,2.05,2.2,6.29,2.1,2,2.1,2,2.1,0.46
left A8 nerve entry,2.86,4.1,2.86,2.78,2.59,4.1,2.47,1.02,4.05,4.44,4.05,2.59,2.1,2.2,4.61,4.13,2.2,2.2,2.1,2.25,2.71
left antennal nerve,2.42,0.46,0.65,2.75,1.02,2.38,2.42,0.65,2.42,2.75,6.14,2.2,1.44,0.65,2.05,2.25,4,0.65,2.1,0.91,0.65
left anterior LON nerve,3.04,1.44,1.29,2.66,2.04,1.44,1.44,2,1.88,2.2,0.91,0.91,0.91,0.46,2.05,0,0.91,0.46,2.42,0.65,1.02
left basal brain neuropil border posterior,2,4.25,4.42,8.01,6.09,3.17,4.33,4.33,6.09,2.25,4.33,3.17,4.23,4.87,4.1,2.2,2.71,4.49,4.42,6.42,2.1
