,np_13F02_34E04_MB006B_020413B_scaled.points,np_13F02_52H09_MB010B_021713A_scaled.points,np_13F02_52H09_MB010B_021713B_scaled.points,np_14C08_15B01_MB011A_020613B_scaled.points,np_14C08_15B01_MB011A_020613C_scaled.points,np_14E06_22B12_MB012B_020413B_scaled.points,np_24H08_53F03_MB027B_020413A_scaled.points,np_30C01_53H03_MB078C_021713B_scaled.points,np_33D07_10F07_MB033B_020613A_scaled.points,np_52B07_52H01_MB262B_021713B_scaled.points,np_58E02_22E04_MB042C_020213A_scaled.points,np_58E02_32D11_MB043B_020213A_scaled.points,np_58E02_32D11_MB043B_021713B_scaled.points,np_58E02_37E10_MB299C_021713A_scaled.points,np_58E02_87B09_MB045C_020213B_scaled.points,np_60H12_14E09_MB049B_020113B_scaled.points,np_73F07_30E11_MB302B_022013B_scaled.points,np_73F07_38E08_MB303B_022013A_scaled.points,np_73F07_38E08_MB303B_022013B_scaled.points,np_73H08_19F09_MB090A_021713A_scaled.points,np_73H08_55A07_MB243A_022013B_scaled.points
Left MB vertical medial lobe connection,0,0.46,0.46,0.65,2.71,0.65,0.65,0.65,0.46,2.28,0,0.65,0.65,1.02,1.02,0.46,1.02,1.02,0.46,0.65,0.46
anterior upper commisure,6.07,4.25,4.13,0,2.25,4.23,0,2.05,2.2,2.05,1.02,0.46,2,0.46,4.23,4.23,0.46,4.25,0,4.03,2.05
center SEZ neuropil fusion,0.46,0.65,2.05,0.65,4.03,2.1,4.13,2.1,2,4.13,4.05,0.46,4.03,2.05,4.03,0.65,4.03,4,4.05,4.23,2.1
end of ventral nerve cord,3.65,2.04,7.58,10.88,5.85,0.46,1.83,0.46,8.15,5.48,5.11,1.29,2.42,5.02,0.46,1.02,0.91,3.42,8.68,0.91,0.46
left A6 nerve entry,6.14,2.75,7.08,10.7,5.04,4.1,2.75,3.51,3.23,4.59,8.07,5.31,1.37,8.07,4.19,4.25,2.1,4.13,8.92,3.77,2.1
left A7 nerve entry,6.03,4.33,4.05,11.25,3.29,2.59,2.05,2.05,6.53,6.14,8.76,5.69,2.04,8.57,3.39,6.09,2.1,4.05,12.99,4.61,2.25
left A8 nerve entry,6.09,2.47,7.16,10.4,6.96,4.03,2.38,2.42,8.58,3.04,8.13,5.69,1.65,7.19,5.07,4.61,2.25,4.05,7.63,5.01,2.59
left antennal nerve,2.75,2.2,2.86,2.47,2.05,0,3.04,2.25,2.25,2.25,2.2,4.26,4.2,0.46,0.46,0.91,2.25,2.05,3.04,0.46,0.91
left anterior LON nerve,0.91,0,2,2,0.91,2,0.46,0.46,2.1,0.91,0.46,0.65,0.65,1.02,2.05,0.46,0.46,0.46,2.05,2.25,2.05
left basal brain neuropil border posterior,2.25,2.47,2.42,2.38,2.75,1.02,2.47,2.2,2.42,2.25,2.78,1.02,4.4,2.1,1.37,4.25,4.42,4.1,4.4,2.47,4.1
left thoracic nerve entry T1,0.46,0.46,2.05,2.05,2.1,2.05,0.46,2.05,4.03,2.1,0.65,4.05,2.05,2.05,2.05,1.02,2.05,0.46,0.46,0,0.46
left thoracic nerve entry T2,0.46,0.46,0,2.05,2.05,2.2,0,2.1,2.1,0.46,2.05,0.46,2.05,2.25,0.46,0.65,0,0,0,2,0.46
left thoracic nerve entry T3,0,0.46,0.46,0.65,2.1,0,2.25,0.46,0.65,0.46,2.25,1.02,0,0.46,1.44,0.46,0.46,0.46,0,0.46,0
left tip of vertical lobe,0.46,2.05,0.46,0,0.46,0,0,0.46,0.46,2.05,0.46,0.46,0,0,0,0.46,2,0.46,0.46,0,2.05
left upper most anterior nerve entry,3.57,1.65,2.86,2.04,5.44,3.8,4.95,2.75,3.04,4.13,6.02,4.33,4.81,2.59,8.53,2.33,5.88,5.73,6.29,4.2,4.75
left upper peduncle,0.46,2.2,0.46,0,0.65,0.46,0.65,2,0.65,2.1,2.05,6,2.05,0,2.05,2.2,0,0.46,0.46,0.46,0
posterior upper commisure,2.25,2.1,2.2,2.05,2.1,4.13,2.05,2.42,2.05,4.2,4.42,2.05,2.42,2.42,2.38,4.05,2.25,2.25,0.46,2.25,2.25
right A6 nerve entry,6.09,2.47,7.84,12.25,6.91,4.13,2.2,3.51,10.14,4.59,7.19,4.19,1.37,8.07,4.16,4.33,2.05,4,9.81,4.26,2.25
right A7 nerve entry,6.34,0.91,5.36,12.1,7.22,6.88,2.38,5.54,7.25,6.49,7.15,3.07,0.46,7.27,2.2,6.29,2.42,4.25,8.27,4.42,2.25
right A8 nerve entry,6.67,2.75,7.94,11.01,9.04,4.33,2.25,2.25,8.72,4.19,6.33,3.8,0.91,6.76,3.33,4.93,2.42,4.05,11.15,4.19,2.25
right MB vertical medial lobe connection,0.46,0,0.65,0,2.71,0.46,0.46,0,0,3.68,1.83,0.46,1.02,0.91,0,0.65,0.46,1.02,0.65,0.65,0.65
right antennal nerve,2.59,2.1,2.05,2.47,2.75,0.46,3.04,2.25,2.2,3.27,2.59,3.07,4.13,1.65,2.66,4.21,4.36,2.42,2.25,1.37,1.02
right anterior LON nerve,1.29,0.46,0.46,2.05,0.46,2.25,0.65,1.37,0.91,1.02,1.65,0.65,0.46,1.02,1.83,0.46,0.65,0.46,2.2,2.05,2.59
right basal brain neuropil border posterior,2.1,2.25,2.2,2.05,2.1,0,2.75,2.1,2.05,2.42,2.25,1.02,4.13,2.38,0.65,4.7,4.25,4.7,4.1,2.2,4.2
right thoracic nerve entry T1,0.46,0.46,2,2.25,2,2.05,0.46,2.25,4.13,2.1,0.46,4.13,2,2.25,3.42,1.02,2.25,0.46,0.46,0.46,0.91
right thoracic nerve entry T2,1.37,0.65,0.46,2.2,2,2.05,1.44,2,2.1,0.65,2.1,1.02,2.2,2.05,3.68,0.46,0.46,0.65,0.46,2.1,0.46
right thoracic nerve entry T3,0.65,1.02,0.46,0.46,4.59,0.46,2.1,0.46,0,0.91,2.2,0.46,1.02,0,3.32,1.02,0.91,1.02,0,0,0.46
