name,Larvalign,Cascaded Vanilla VXM,Cascaded Landmark Guided VXM
13F02_34E04_MB006B_020413B,2,2.47,1.52
13F02_52H09_MB010B_021713A,2.3,1.68,1.86
13F02_52H09_MB010B_021713B,1.62,2.69,2.03
14C08_15B01_MB011A_020613B,2.33,3.65,2.78
14C08_15B01_MB011A_020613C,2.49,3.25,3.14
14E06_22B12_MB012B_020413B,2.31,2.08,2.19
24H08_53F03_MB027B_020413A,1.71,1.8,1.91
30C01_53H03_MB078C_021713B,1.78,1.9,1.94
33D07_10F07_MB033B_020613A,2.22,3.08,2.81
52B07_52H01_MB262B_021713B,2.05,2.93,1.81
58E02_22E04_MB042C_020213A,2.73,3.42,2.2
58E02_32D11_MB043B_020213A,1.95,2.59,2.1
58E02_32D11_MB043B_021713B,1.45,2.07,2.07
58E02_37E10_MB299C_021713A,2.01,2.72,2.14
58E02_87B09_MB045C_020213B,2.46,2.66,2.69
60H12_14E09_MB049B_020113B,1.81,2.37,2.2
73F07_30E11_MB302B_022013B,1.92,2.06,1.78
73F07_38E08_MB303B_022013A,1.69,2.41,2.4
73F07_38E08_MB303B_022013B,2.04,3.58,2.35
73H08_19F09_MB090A_021713A,2.04,2.14,1.73
73H08_55A07_MB243A_022013B,2.18,1.75,2.48
