,Landmark Registration Error (LRE),,,,,,,,,,,,,,
,Larvalign,,,,,Vanilla,,,,,Landmark,,,,
,Mean,Std Dev,Median,Max,Min,Mean,Std Dev,Median,Max,Min,Mean,Std Dev,Median,Max,Min
13F02_34E04_MB006B_020413B.tif,2,1.2,2.08,4.26,0,2.47,2.32,1.74,6.67,0,1.52,1.61,0.91,6.14,0
13F02_52H09_MB010B_021713A.tif,2.3,1.49,2.25,4.4,0,1.68,1.12,2.05,4.33,0,1.86,1.23,2.05,4.66,0
13F02_52H09_MB010B_021713B.tif,1.62,1.12,1.72,4.42,0,2.69,2.51,2.05,7.94,0,2.03,1.48,2.1,5.48,0
14C08_15B01_MB011A_020613B.tif,2.33,2.02,2.05,8.33,0,3.65,4.28,2.05,12.25,0,2.78,2.52,2.15,8.65,0
14C08_15B01_MB011A_020613C.tif,2.49,1.5,2.1,6.22,0.46,3.25,2.3,2.48,9.04,0.46,3.14,2.37,2.35,8.51,0
14E06_22B12_MB012B_020413B.tif,2.31,1.27,2.24,4.63,0.46,2.08,1.84,2.05,6.88,0,2.19,1.62,2.1,5.17,0
24H08_53F03_MB027B_020413A.tif,1.71,1.13,2,4.33,0,1.8,1.4,2.05,5.3,0,1.91,1.54,2.03,6.57,0
30C01_53H03_MB078C_021713B.tif,1.78,1.06,1.83,4.81,0.46,1.9,1.17,2.08,5.54,0,1.94,1.55,1.94,5.33,0
33D07_10F07_MB033B_020613A.tif,2.22,1.76,1.94,6.67,0,3.08,2.85,2.15,10.14,0,2.81,2.3,2.15,8.51,0.46
52B07_52H01_MB262B_021713B.tif,2.05,1.33,2.15,4.44,0,2.93,1.67,2.27,6.49,0.46,1.81,0.93,2.05,3.9,0
58E02_22E04_MB042C_020213A.tif,2.73,1.86,2.45,6.14,0,3.42,2.63,2.25,8.76,0,2.2,1.12,2.23,4.77,0.46
58E02_32D11_MB043B_020213A.tif,1.95,1.34,2.05,5.18,0,2.59,2.07,1.67,6.07,0.46,2.1,1.29,2.18,4.99,0
58E02_32D11_MB043B_021713B.tif,1.45,1.08,1.37,4.49,0,2.07,1.47,2,5.2,0,2.07,1.53,2.05,4.26,0
58E02_37E10_MB299C_021713A.tif,2.01,1.84,2.03,7.93,0,2.72,2.7,2.05,8.57,0,2.14,1.63,2,6.28,0
58E02_87B09_MB045C_020213B.tif,2.46,1.59,2.08,6.29,0.46,2.66,2.21,2.13,9.42,0,2.69,1.74,2.44,5.9,0
60H12_14E09_MB049B_020113B.tif,1.81,1.36,2.05,4.4,0,2.37,1.92,1.51,6.29,0.46,2.2,1.77,2.05,7.09,0
73F07_30E11_MB302B_022013B.tif,1.92,1.35,2.05,5.44,0,2.06,1.64,2.08,6.09,0,1.78,1.27,1.2,4.52,0.46
73F07_38E08_MB303B_022013A.tif,1.69,1.65,0.65,5.9,0,2.41,2.01,2.15,7.56,0,2.4,1.5,2.1,4.61,0
73F07_38E08_MB303B_022013B.tif,2.04,1.93,2,8.33,0,3.58,3.88,2.13,12.99,0,2.35,1.88,2.05,7.88,0
73H08_19F09_MB090A_021713A.tif,2.04,1.9,1.75,6.44,0,2.14,1.73,2.08,5.01,0,1.73,1.57,1.51,6.29,0
73H08_55A07_MB243A_022013B.tif,2.18,2.18,2.05,10.69,0.46,1.75,1.28,2.05,4.75,0,2.48,2.04,2.05,8.47,0
,,,,,,,,,,,,,,,
Average,2.05,1.52,1.95,5.89,0.11,2.54,2.14,2.05,7.39,0.09,2.2,1.64,1.99,6.09,0.07
